TABLE NO.  2
 NUM         EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  5.9183E+01  6.5372E+01 -3.9434E-01 -4.9781E-01  6.1005E+01  5.9760E+01  1.2446E+00 -4.0723E-01
  3.0000E+00  7.7860E+01  8.9862E+01  1.7637E-01  1.2603E-01  9.0976E+01  8.1229E+01  9.7474E+00  7.4282E-02
  4.0000E+00  8.4029E+01  9.8690E+01  1.4051E+00  1.5098E+00  1.2221E+02  8.8425E+01  3.3785E+01  1.3404E+00
  5.0000E+00  8.4217E+01  9.9157E+01  1.7507E+00  1.7300E+00  1.2609E+02  8.8441E+01  3.7649E+01  1.5471E+00
  6.0000E+00  7.8312E+01  9.1403E+01 -1.4252E-01 -2.2789E-01  8.4682E+01  8.1038E+01  3.6442E+00 -2.7801E-01
  7.0000E+00  6.9794E+01  8.0414E+01 -1.2265E+00 -1.0972E+00  6.2131E+01  7.1226E+01 -9.0953E+00 -1.0856E+00
  8.0000E+00  6.2520E+01  7.1372E+01 -1.7908E+00 -1.5598E+00  4.9135E+01  6.3301E+01 -1.4166E+01 -1.5295E+00
  9.0000E+00  5.4220E+01  6.1390E+01  5.8284E-01  4.0235E-01  6.4180E+01  5.4612E+01  9.5684E+00  4.1120E-01
  1.0000E+01  4.3485E+01  4.8863E+01  1.4758E+00  1.3477E+00  5.9574E+01  4.3713E+01  1.5861E+01  1.3473E+00
  1.1000E+01  3.0117E+01  3.3561E+01  1.6781E+00  1.9925E+00  4.5297E+01  3.0268E+01  1.5029E+01  1.9834E+00
  1.2000E+01  1.9670E+01  2.1813E+01 -7.8350E-01 -7.5409E-01  1.8966E+01  1.9627E+01 -6.6138E-01 -7.1518E-01
  1.3000E+01  1.7183E+01  1.9124E+01 -1.8487E-01 -2.0126E-01  1.8771E+01  1.7103E+01  1.6681E+00 -1.5523E-01
  1.4000E+01  9.7511E+00  1.1076E+01 -5.8521E-02 -2.0129E-01  1.1067E+01  9.4965E+00  1.5705E+00 -8.6989E-02
  1.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8000E+01  6.1684E+01  8.8925E+01  2.1280E+00  2.6877E+00  1.1410E+02  6.1166E+01  5.2934E+01  2.7288E+00
  1.9000E+01  8.5582E+01  1.1629E+02  2.2164E+00  1.9899E+00  1.3835E+02  8.7919E+01  5.0431E+01  1.7747E+00
  2.0000E+01  9.0339E+01  1.1900E+02  2.6198E-01  3.8262E-02  1.0747E+02  9.3336E+01  1.4134E+01 -1.3489E-01
  2.1000E+01  9.2293E+01  1.1654E+02 -2.7131E+00 -2.1643E+00  6.5563E+01  9.5333E+01 -2.9770E+01 -2.2254E+00
  2.2000E+01  8.7301E+01  1.0433E+02  4.1789E-02  1.3485E-02  9.8927E+01  8.9030E+01  9.8966E+00 -1.3952E-02
  2.3000E+01  7.8880E+01  9.1762E+01 -1.9337E-01 -3.4723E-01  8.2533E+01  7.9356E+01  3.1772E+00 -2.7380E-01
  2.4000E+01  6.9430E+01  7.9886E+01  7.3885E-01  6.2631E-01  8.6241E+01  6.9133E+01  1.7108E+01  7.5668E-01
  2.5000E+01  6.1971E+01  7.1228E+01 -1.8487E-01 -2.1509E-01  6.6140E+01  6.1393E+01  4.7467E+00 -5.8852E-02
  2.6000E+01  4.9283E+01  5.7116E+01  2.9352E+00  3.0684E+00  8.6313E+01  4.8642E+01  3.7671E+01  3.2794E+00
  2.7000E+01  3.4875E+01  4.1230E+01  9.5417E-01  9.0310E-01  4.6105E+01  3.4374E+01  1.1731E+01  1.0367E+00
  2.8000E+01  2.3487E+01  2.8507E+01  6.6404E-01  5.8306E-01  3.0343E+01  2.2988E+01  7.3554E+00  6.5159E-01
  2.9000E+01  2.0784E+01  2.5555E+01 -1.9322E+00 -1.7670E+00  1.6914E+01  2.0284E+01 -3.3705E+00 -1.7751E+00
  3.0000E+01  1.2233E+01  1.6227E+01  1.0803E+00  9.4167E-01  1.8201E+01  1.1650E+01  6.5510E+00  1.0535E+00
  3.1000E+01  7.6419E+00  1.0734E+01  7.7219E-01  5.7227E-01  1.1563E+01  6.9634E+00  4.5996E+00  8.3613E-01
  3.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4000E+01  6.4310E+01  5.2425E+01 -1.9893E+00 -1.7824E+00  3.2642E+01  6.5940E+01 -3.3298E+01 -1.7042E+00
  3.5000E+01  7.9346E+01  6.8731E+01  9.2039E-02  7.0792E-02  7.3315E+01  8.2640E+01 -9.3249E+00 -1.6570E-02
  3.6000E+01  8.4865E+01  7.5954E+01  7.1707E-01  5.6055E-01  8.8325E+01  8.8548E+01 -2.2302E-01  4.1048E-01
  3.7000E+01  8.6862E+01  8.0284E+01 -8.3555E-03 -1.0402E-01  7.9920E+01  8.9911E+01 -9.9913E+00 -2.3771E-01
  3.8000E+01  8.3064E+01  7.8043E+01 -2.5335E-01 -2.4347E-01  7.5161E+01  8.4503E+01 -9.3425E+00 -3.3349E-01
  3.9000E+01  7.5571E+01  7.1029E+01  5.3401E-01  3.1432E-01  7.7791E+01  7.5466E+01  2.3248E+00  2.8149E-01
  4.0000E+01  6.6191E+01  6.1536E+01  6.7449E-01  7.3162E-01  7.4142E+01  6.5115E+01  9.0268E+00  7.7201E-01
  4.1000E+01  5.8556E+01  5.3682E+01  6.6893E-02 -1.9419E-03  5.6671E+01  5.7165E+01 -4.9373E-01  6.5627E-02
