TABLE NO.  1
 NUM         CL          V2          Q           V3          KA          ETA1        ETA2        ETA3        ETA4        ETA5        EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  1.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  5.8667E+01  6.5187E+01 -3.8532E-01 -4.8345E-01  6.1005E+01  5.9170E+01  1.8355E+00 -3.9126E-01
  3.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  7.7459E+01  8.9743E+01  2.0189E-01  1.3513E-01  9.0976E+01  8.0737E+01  1.0239E+01  8.5863E-02
  4.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  8.3792E+01  9.8669E+01  1.4051E+00  1.5132E+00  1.2221E+02  8.8158E+01  3.4052E+01  1.3456E+00
  5.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  8.4072E+01  9.9189E+01  1.7507E+00  1.7290E+00  1.2609E+02  8.8315E+01  3.7775E+01  1.5463E+00
  6.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  7.8297E+01  9.1481E+01 -1.4252E-01 -2.3130E-01  8.4682E+01  8.1103E+01  3.5791E+00 -2.8213E-01
  7.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  6.9822E+01  8.0469E+01 -1.2265E+00 -1.0984E+00  6.2131E+01  7.1330E+01 -9.1987E+00 -1.0863E+00
  8.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  6.2555E+01  7.1392E+01 -1.7908E+00 -1.5583E+00  4.9135E+01  6.3389E+01 -1.4254E+01 -1.5264E+00
  9.0000E+00  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  5.4248E+01  6.1369E+01  5.9277E-01  4.0168E-01  6.4180E+01  5.4664E+01  9.5155E+00  4.1153E-01
  1.0000E+01  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  4.3498E+01  4.8805E+01  1.4758E+00  1.3487E+00  5.9574E+01  4.3722E+01  1.5852E+01  1.3512E+00
  1.1000E+01  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  3.0125E+01  3.3510E+01  1.6781E+00  1.9937E+00  4.5297E+01  3.0260E+01  1.5037E+01  1.9898E+00
  1.2000E+01  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  1.9702E+01  2.1821E+01 -7.8350E-01 -7.5513E-01  1.8966E+01  1.9652E+01 -6.8550E-01 -7.1374E-01
  1.3000E+01  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  1.7220E+01  1.9145E+01 -1.8487E-01 -2.0691E-01  1.8771E+01  1.7135E+01  1.6363E+00 -1.5867E-01
  1.4000E+01  2.6161E+00  3.5798E+01  3.7499E+00  5.7382E+01  1.1209E+00 -4.6085E-02 -1.2976E-01 -1.4460E-01 -2.6946E-02 -7.9417E-02  9.7750E+00  1.1083E+01 -5.8521E-02 -2.0493E-01  1.1067E+01  9.5159E+00  1.5511E+00 -8.8814E-02
  1.7000E+01  1.8569E+00  3.2811E+01  3.4402E+00  5.3936E+01  1.6673E+00  3.5102E-01 -1.5288E-01 -3.1689E-01 -2.4873E-02 -1.1760E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8000E+01  1.8569E+00  3.2811E+01  3.4402E+00  5.3936E+01  1.6673E+00  3.5102E-01 -1.5288E-01 -3.1689E-01 -2.4873E-02 -1.1760E-01  6.1129E+01  8.8703E+01  2.1280E+00  2.7314E+00  1.1410E+02  6.0544E+01  5.3556E+01  2.7840E+00
