TABLE NO.  1
 NUM         CL          V2          Q           V3          KA          ETA1        ETA2        ETA3        ETA4        ETA5        EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  1.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  5.9498E+01  6.6023E+01 -4.3991E-01 -5.3515E-01  6.1005E+01  6.0126E+01  8.7887E-01 -4.4475E-01
  3.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  7.7727E+01  9.0107E+01  2.0189E-01  1.2949E-01  9.0976E+01  8.1238E+01  9.7379E+00  7.3160E-02
  4.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  8.3674E+01  9.8489E+01  1.4279E+00  1.5422E+00  1.2221E+02  8.8122E+01  3.4088E+01  1.3702E+00
  5.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  8.3857E+01  9.8775E+01  1.7507E+00  1.7680E+00  1.2609E+02  8.8050E+01  3.8040E+01  1.5873E+00
  6.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  7.8207E+01  9.1034E+01 -1.1724E-01 -2.1171E-01  8.4682E+01  8.0797E+01  3.8846E+00 -2.5531E-01
  7.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  7.0019E+01  8.0361E+01 -1.2265E+00 -1.1013E+00  6.2131E+01  7.1332E+01 -9.2014E+00 -1.0869E+00
  8.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  6.2974E+01  7.1610E+01 -1.8339E+00 -1.5780E+00  4.9135E+01  6.3683E+01 -1.4548E+01 -1.5499E+00
  9.0000E+00  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  5.4858E+01  6.1905E+01  5.0532E-01  3.4892E-01  6.4180E+01  5.5238E+01  8.9425E+00  3.5157E-01
  1.0000E+01  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  4.4198E+01  4.9557E+01  1.3830E+00  1.2548E+00  5.9574E+01  4.4479E+01  1.5095E+01  1.2375E+00
  1.1000E+01  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  3.0554E+01  3.4023E+01  1.6449E+00  1.9037E+00  4.5297E+01  3.0793E+01  1.4504E+01  1.8676E+00
  1.2000E+01  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  1.9575E+01  2.1654E+01 -7.3885E-01 -7.2103E-01  1.8966E+01  1.9566E+01 -5.9979E-01 -6.8850E-01
  1.3000E+01  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  1.6997E+01  1.8854E+01 -5.8521E-02 -1.3585E-01  1.8771E+01  1.6930E+01  1.8407E+00 -9.0896E-02
  1.4000E+01  2.5913E+00  3.6905E+01  3.5068E+00  5.8409E+01  1.1868E+00 -5.0012E-02 -1.2835E-01 -1.4531E-01 -1.5517E-02 -7.1365E-02  9.6889E+00  1.0997E+01  8.3555E-03 -1.7650E-01  1.1067E+01  9.4523E+00  1.6147E+00 -6.3921E-02
  1.7000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  6.2059E+01  9.0751E+01  2.1280E+00  2.5670E+00  1.1410E+02  6.1576E+01  5.2524E+01  2.5789E+00
  1.9000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  8.5413E+01  1.1589E+02  2.1280E+00  1.9889E+00  1.3835E+02  8.7903E+01  5.0447E+01  1.7546E+00
  2.0000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  9.0003E+01  1.1775E+02  2.7932E-01  5.4341E-02  1.0747E+02  9.3113E+01  1.4357E+01 -1.2518E-01
  2.1000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  9.1882E+01  1.1465E+02 -2.4747E+00 -2.1442E+00  6.5563E+01  9.4934E+01 -2.9371E+01 -2.1974E+00
  2.2000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  8.7121E+01  1.0268E+02  7.5270E-02  4.8041E-02  9.8927E+01  8.8737E+01  1.0190E+01  4.0549E-02
  2.3000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  7.9062E+01  9.0866E+01 -1.9337E-01 -3.3157E-01  8.2533E+01  7.9411E+01  3.1221E+00 -2.4129E-01
  2.4000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  6.9950E+01  7.9706E+01  6.9562E-01  6.1204E-01  8.6241E+01  6.9563E+01  1.6678E+01  7.5041E-01
  2.5000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  6.2686E+01  7.1483E+01 -2.3613E-01 -2.4686E-01  6.6140E+01  6.2056E+01  4.0838E+00 -9.4209E-02
  2.6000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  5.0127E+01  5.7811E+01  2.7131E+00  2.9543E+00  8.6313E+01  4.9496E+01  3.6817E+01  3.1423E+00
  2.7000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  3.5429E+01  4.1838E+01  8.6568E-01  8.1327E-01  4.6105E+01  3.4980E+01  1.1125E+01  9.1274E-01
  2.8000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  2.3439E+01  2.8442E+01  6.6404E-01  5.9208E-01  3.0343E+01  2.2958E+01  7.3846E+00  6.3583E-01
  2.9000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  2.0628E+01  2.5331E+01 -1.9322E+00 -1.7471E+00  1.6914E+01  2.0129E+01 -3.2155E+00 -1.7744E+00
  3.0000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  1.2200E+01  1.6141E+01  1.0954E+00  9.5198E-01  1.8201E+01  1.1618E+01  6.5827E+00  1.0459E+00
  3.1000E+01  1.8330E+00  3.4225E+01  3.2233E+00  5.4879E+01  1.8529E+00  3.9547E-01 -1.3972E-01 -3.2101E-01 -1.3843E-02 -1.0768E-01  7.7496E+00  1.0867E+01  6.7449E-01  4.7598E-01  1.1563E+01  7.0713E+00  4.4917E+00  7.0285E-01
  3.3000E+01  3.3759E+00  4.2966E+01  3.7793E+00  6.1845E+01  9.1229E-01 -3.1308E-01  2.9528E-02  2.4970E-01  4.7461E-02  7.8201E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
